x,y,species_2 cloglog values
1.0,1.0,0.4138181
2.0,2.0,0.26105854
3.0,3.0,0.11590273
4.0,4.0,0.07889864
5.0,5.0,0.12558101
6.0,6.0,0.03596105
7.0,7.0,0.0044147735
8.0,8.0,0.33352542
9.0,9.0,0.13498916
10.0,10.0,0.49948737
11.0,11.0,0.10819699
12.0,12.0,3.6910988E-6
13.0,13.0,9.43086E-6
14.0,14.0,0.500271
15.0,15.0,0.3354172
16.0,16.0,0.48082522
17.0,17.0,4.0322244E-5
18.0,18.0,0.038278334
19.0,19.0,2.4883176E-4
20.0,20.0,0.039039407
21.0,21.0,0.37618852
22.0,22.0,0.9342235
23.0,23.0,4.9340375E-5
24.0,24.0,0.017477732
25.0,25.0,1.637297E-6
26.0,26.0,0.37503347
27.0,27.0,3.557654E-5
28.0,28.0,4.8919505E-6
29.0,29.0,7.019012E-5
30.0,30.0,8.6384837E-4
31.0,31.0,0.19576135
32.0,32.0,0.071840115
33.0,33.0,4.8560192E-5
34.0,34.0,2.1944687E-5
35.0,35.0,1.0410691E-6
36.0,36.0,0.60463405
37.0,37.0,0.20373432
38.0,38.0,0.58459985
39.0,39.0,0.26396397
40.0,40.0,9.126686E-7
41.0,41.0,0.8148592
42.0,42.0,0.24125111
43.0,43.0,0.07105071
44.0,44.0,5.1766692E-5
45.0,45.0,0.2756259
46.0,46.0,0.5273073
47.0,47.0,0.15761718
48.0,48.0,0.1318309
49.0,49.0,0.27511084
50.0,50.0,1.6094759E-4
51.0,51.0,0.074530005
52.0,52.0,2.4007946E-4
53.0,53.0,1.3540607E-5
54.0,54.0,0.27394223
55.0,55.0,0.004963727
56.0,56.0,2.1200376E-5
57.0,57.0,0.21892835
58.0,58.0,1.579304E-5
59.0,59.0,0.0016830667
60.0,60.0,0.7378544
61.0,61.0,0.0011442717
62.0,62.0,0.11007761
63.0,63.0,0.058848944
64.0,64.0,1.9476822E-5
65.0,65.0,0.40395176
66.0,66.0,0.007696986
67.0,67.0,8.5213594E-7
68.0,68.0,0.24865474
69.0,69.0,0.43698704
70.0,70.0,0.9675075
71.0,71.0,0.21861467
72.0,72.0,0.26840684
73.0,73.0,1.9036743E-5
74.0,74.0,1.6350796E-5
75.0,75.0,0.006674462
76.0,76.0,1.6892783E-4
77.0,77.0,0.15695782
78.0,78.0,0.40697584
79.0,79.0,6.4993344E-8
80.0,80.0,1.2267614E-4
81.0,81.0,0.23046501
82.0,82.0,0.3397766
83.0,83.0,0.0022049197
84.0,84.0,0.4079703
85.0,85.0,0.11099099
86.0,86.0,0.33791143
87.0,87.0,0.46415454
88.0,88.0,4.428904E-5
89.0,89.0,6.3530904E-5
90.0,90.0,0.0012264194
91.0,91.0,9.006097E-6
92.0,92.0,0.5018616
93.0,93.0,0.22162245
94.0,94.0,0.49487484
95.0,95.0,6.2037685E-8
96.0,96.0,0.0023399512
97.0,97.0,0.27015972
98.0,98.0,3.2932698E-7
99.0,99.0,0.4229405
100.0,100.0,0.6741399
101.0,101.0,7.391655E-5
