x,y,species_3 cloglog values
1.0,1.0,0.42767757
2.0,2.0,0.90060616
3.0,3.0,0.0050926316
4.0,4.0,0.0038278454
5.0,5.0,0.18665189
6.0,6.0,2.3126959E-4
7.0,7.0,0.03297265
8.0,8.0,8.4526767E-4
9.0,9.0,0.0072684977
10.0,10.0,0.043767557
11.0,11.0,0.15242194
12.0,12.0,1.16968506E-4
13.0,13.0,0.2046534
14.0,14.0,3.3577792E-6
15.0,15.0,0.0016886087
16.0,16.0,5.2097228E-5
17.0,17.0,0.019330403
18.0,18.0,0.51129466
19.0,19.0,0.05432879
20.0,20.0,0.0080176
21.0,21.0,0.29394403
22.0,22.0,0.21271123
23.0,23.0,0.34983936
24.0,24.0,0.17022732
25.0,25.0,0.09046878
26.0,26.0,3.5686424E-4
27.0,27.0,0.003057434
28.0,28.0,0.046115473
29.0,29.0,0.0577694
30.0,30.0,0.16038832
31.0,31.0,0.30952317
32.0,32.0,0.7338712
33.0,33.0,0.2810307
34.0,34.0,0.14910553
35.0,35.0,0.0676603
36.0,36.0,0.3884705
37.0,37.0,0.011640038
38.0,38.0,0.18916781
39.0,39.0,0.026232922
40.0,40.0,0.26018402
41.0,41.0,0.032063585
42.0,42.0,0.0023234123
43.0,43.0,0.21578024
44.0,44.0,0.021447465
45.0,45.0,0.091237925
46.0,46.0,0.36375102
47.0,47.0,0.41996086
48.0,48.0,2.7504047E-5
49.0,49.0,0.066086225
50.0,50.0,0.337405
51.0,51.0,2.3091857E-4
52.0,52.0,0.6832407
53.0,53.0,0.32026294
54.0,54.0,0.0012121885
55.0,55.0,0.3184416
56.0,56.0,0.18959093
57.0,57.0,3.5273646E-5
58.0,58.0,0.045709882
59.0,59.0,0.37670803
60.0,60.0,0.10464643
61.0,61.0,8.529406E-5
62.0,62.0,3.0532404E-4
63.0,63.0,0.21247719
64.0,64.0,0.010353446
65.0,65.0,0.3340204
66.0,66.0,0.37639982
67.0,67.0,0.0035412898
68.0,68.0,0.5418451
69.0,69.0,0.01375225
70.0,70.0,0.1914682
71.0,71.0,0.03607632
72.0,72.0,0.5208183
73.0,73.0,6.259895E-5
74.0,74.0,0.18928431
75.0,75.0,1.7917437E-5
76.0,76.0,1.3394967E-4
77.0,77.0,0.02452971
78.0,78.0,0.0014804379
79.0,79.0,0.0044074426
80.0,80.0,0.0937468
81.0,81.0,0.0072101546
82.0,82.0,0.23338439
83.0,83.0,0.19148973
84.0,84.0,0.0011038604
85.0,85.0,0.0010572127
86.0,86.0,0.9530628
87.0,87.0,0.0073102643
88.0,88.0,0.83446366
89.0,89.0,0.7779444
90.0,90.0,0.26185375
91.0,91.0,0.055044223
92.0,92.0,0.5144511
93.0,93.0,0.034674454
94.0,94.0,0.350225
95.0,95.0,0.99995834
96.0,96.0,0.39376014
97.0,97.0,0.0620944
98.0,98.0,6.897003E-5
99.0,99.0,7.160433E-5
100.0,100.0,7.2131E-4
101.0,101.0,0.122554
102.0,102.0,0.24913594
103.0,103.0,0.83751047
104.0,104.0,0.32649857
105.0,105.0,1.3342148E-4
106.0,106.0,2.7243179E-5
107.0,107.0,7.9689653E-7
108.0,108.0,0.230905
109.0,109.0,0.008202725
110.0,110.0,3.379694E-6
111.0,111.0,0.66925234
112.0,112.0,0.085388705
